year,measure_name,outcome,full_text
2018,"Initiated constitutional amendment : Question 6, require that electric utilities get 50% of their energy from renewables by 2030",Passed,"Initiated constitutional amendment : Question 6, require that electric utilities get 50% of their energy from renewables by 2030. This amendment passed. [ 22 ]"
2018,2018 Oklahoma State Question 788,,2018 Oklahoma State Question 788
2018,2018 Oregon Ballot Measure 102,,2018 Oregon Ballot Measure 102
2018,2018 Oregon Ballot Measure 106,,2018 Oregon Ballot Measure 106
2018,2018 Utah Proposition 4,,2018 Utah Proposition 4
2018,2018 Washington Initiative 1631,,2018 Washington Initiative 1631
2018,2018 Washington Initiative 1639,,2018 Washington Initiative 1639
2018,"Anchorage, AK Proposition 1",,"Anchorage, AK Proposition 1"
2018,Alabama Amendment 1,,Alabama Amendment 1
2018,California Proposition 1,,California Proposition 1
2018,Florida Florida Amendment 4,,Florida Florida Amendment 4
2018,Utah Proposition 4,,Utah Proposition 4
2018,West Virginia Amendment 1,,West Virginia Amendment 1
2018,2018 ballot measures in the United States,,2018 ballot measures in the United States
2016,2016 California Proposition 50,,2016 California Proposition 50
2016,2016 California Proposition 51,,2016 California Proposition 51
2016,2016 California Proposition 52,,2016 California Proposition 52
2016,2016 California Proposition 53,,2016 California Proposition 53
2016,2016 California Proposition 54,,2016 California Proposition 54
2016,2016 California Proposition 55,,2016 California Proposition 55
2016,2016 California Proposition 56,,2016 California Proposition 56
2016,2016 California Proposition 57,,2016 California Proposition 57
2016,2016 California Proposition 58,,2016 California Proposition 58
2016,2016 California Proposition 59,,2016 California Proposition 59
2016,2016 California Proposition 60,,2016 California Proposition 60
2016,2016 California Proposition 61,,2016 California Proposition 61
2016,2016 California Proposition 62,,2016 California Proposition 62
2016,2016 California Proposition 63,,2016 California Proposition 63
2016,2016 California Proposition 64,,2016 California Proposition 64
2016,2016 California Proposition 65 [ 1 ],,2016 California Proposition 65 [ 1 ]
2016,2016 California Proposition 66,,2016 California Proposition 66
2016,2016 California Proposition 67 [ 1 ],,2016 California Proposition 67 [ 1 ]
2016,2016 Colorado Amendment 69,,2016 Colorado Amendment 69
2016,2016 Florida Amendment 1,,2016 Florida Amendment 1
2016,2016 Florida Amendment 2,,2016 Florida Amendment 2
2016,2016 Maine Question 1,,2016 Maine Question 1
2016,2016 Maine Question 2,,2016 Maine Question 2
2016,2016 Maine Question 3,,2016 Maine Question 3
2016,2016 Maine Question 4,,2016 Maine Question 4
2016,2016 Maine Question 5,,2016 Maine Question 5
2016,2016 Massachusetts Question 1,,2016 Massachusetts Question 1
2016,2016 Massachusetts Question 2,,2016 Massachusetts Question 2
