year,state,measure,topic,yes_pct,no_pct,outcome
2024,District of Columbia,Citizens,Approved,Initiative 83,Allows independent voters to participate in partisan primaries and implements ranked-choice voting.,Approved
2024,Florida,Legislature,Failed,Amendment 1,Make school board elections partisan beginning in the November 2026 general election and for primary,Failed
2024,Legislature,Approved,Amendment 2,Establish a constitutional right to hunt and fish in Florida.,Nov 5,Approved
2024,Citizens,Failed,Amendment 3,Legalize marijuana for adults 21 years old and older and allow for individuals to possess up to thre,Nov 5,Failed
2024,Citizens,Failed,Amendment 4,Enshrines abortion until fetal viability or to protect health of the mother,Nov 5,Failed
2024,Legislature,Approved,Amendment 5,Apply an annual inflation adjustment to the amount of assessed value that is exempt from property ta,Nov 5,Approved
2024,Legislature,Failed,Amendment 6,Repeal the state constitutional provision that provides for public financing of campaigns for those ,Nov 5,Failed
2024,Georgia,Legislature,Approved,Amendment 1,"Provide for a local option homestead property tax exemption and allowing a county, municipality, or ",Approved
2024,Legislature,Approved,Amendment 2,Create the Georgia Tax Court to have concurrent jurisdiction with superior courts.,Nov 5,Approved
2024,Legislature,Approved,Referendum A,"Increase the personal property tax exemption from $7,500 to $20,000.",Nov 5,Approved
2024,Hawaii,Legislature,Approved,Amendment 1,Repeal Amendment 2 and the Legislature's ability reserve marriage to opposite-sex couples.,Approved
2024,Legislature,Approved,Amendment 2,Change the process for appointing and confirming district court judges to be the same as that used f,Nov 5,Approved
2024,Idaho,Legislature,Passed,Citizenship Requirement for Voting,Prohibits state and local governments from allowing non-citizens to vote.,Passed
2024,Citizens,Failed,Proposition 1,Implements a top-four nonpartisan blanket primary; with ranked-choice voting for the general electio,"269,959 30.38%",Failed
2024,Illinois,Advisory question,Approved,Illinois Assisted Reproductive Healthcare Advisory Question,"Advise state officials to provide for medically assisted reproductive treatments, including in vitro",Approved
2024,Advisory Question,Approved,Illinois Income Tax Advisory Question,Advise state officials to amend the Illinois Constitution to create an additional 3% tax on income g,Nov 5,Approved
2024,Advisory Question,Approved,Illinois Penalties for Candidate Interference with Election Worker's Duties Advisory Question,Advise state officials to establish civil penalties if a candidate interferes or attempts to interfe,Nov 5,Approved
2024,Iowa,Legislature,Approved,Amendment 1,"Prohibits state and local governments from allowing non-citizens to vote, and would allow some 17-ye",Approved
2024,Legislature,Approved,Amendment 2,"Provide so that, if the governor dies, resigns, or is removed from office, the lieutenant governor w",Nov 5,Approved
2024,Kentucky,Legislature,Passed,Amendment 1,Prohibits state and local governments from allowing non-citizens to vote.,Passed
2024,Legislature,Failed,Amendment 2,Enable the General Assembly to provide state funding to students outside of public schools.,Nov 5,Failed
2024,Louisiana,Legislature,Approved,Louisiana Outer Continental Shelf Revenues for Coastal Protection and Restoration Fund Amendment,Require federal revenue received from alternative and renewable energy production in the Outer Conti,Approved
2024,Maine,Citizens,Approved,Question 1,"Limit the amount of campaign contributions to $5,000 from individuals and entities to political acti",Approved
2024,Bond Issue,Approved,Question 2,"Authorize $25 million in general obligation bonds to the Maine Technology Institute for research, de",Nov 5,Approved
2024,Bond Issue,Approved,Question 3,Authorize $10 million in general obligation bonds for the restoration of local community buildings.,Nov 5,Approved
2024,Bond Issue,Approved,Question 4,Authorize $30 million in general obligation bonds for the development and maintenance of outdoor tra,Nov 5,Approved
2024,Legislature,Failed,Question 5,Replace the existing state flag with a flag consisting of a pine tree and the North Star on a buff (,Nov 5,Failed
2024,Maryland,Legislature,Approved,Question 1,Enshrines abortion in the Maryland Constitution,Approved
